	cluster
GSM1624580	GSM1624580	2
GSM1624581	GSM1624581	2
GSM1624582	GSM1624582	2
GSM1624583	GSM1624583	1
GSM1624584	GSM1624584	2
GSM1624585	GSM1624585	2
GSM1624586	GSM1624586	2
GSM1624587	GSM1624587	2
GSM1624588	GSM1624588	2
GSM1624589	GSM1624589	2
GSM1624590	GSM1624590	2
GSM1624591	GSM1624591	2
GSM1624592	GSM1624592	2
GSM1624593	GSM1624593	2
GSM1624594	GSM1624594	2
GSM1624595	GSM1624595	2
GSM1624596	GSM1624596	2
GSM1624597	GSM1624597	1
GSM1624598	GSM1624598	1
GSM1624599	GSM1624599	2
GSM1624600	GSM1624600	1
GSM1624601	GSM1624601	2
GSM1624602	GSM1624602	1
GSM1624603	GSM1624603	2
GSM1624604	GSM1624604	2
GSM1624605	GSM1624605	2
GSM1624606	GSM1624606	2
GSM1624607	GSM1624607	1
